class_name,run,start,end,duration,size,area,max_front_radius,front_velocity,fractal_dimension_box,radius_of_gyration,anisotropy
weak_chaos,13,1037,1059,22,0.0006275735795497894,22,0.0,0.0,1.0,6.3442888259887695,1.0
weak_chaos,13,1192,1196,4,6.724148988723755e-06,4,0.0,0.0,nan,1.1180340051651,1.0
weak_chaos,13,1308,1363,55,0.01661934331059456,55,0.0,0.0,1.0,15.874506950378418,1.0
weak_chaos,13,1468,1520,52,0.01140362024307251,52,0.0,0.0,1.0,15.008331298828125,1.0
weak_chaos,13,1626,1670,44,0.008152145892381668,44,0.0,0.0,1.0,12.69842529296875,1.0
weak_chaos,13,1783,1825,42,0.00454171746969223,42,0.0,0.0,1.0,12.120919227600098,1.0
weak_chaos,13,1962,1995,33,0.0021882764995098114,33,0.0,0.0,1.0,9.521904945373535,1.0
weak_chaos,14,80,103,23,0.0008606463670730591,23,0.0,0.0,1.0,6.633249759674072,1.0
weak_chaos,14,402,438,36,0.003451671451330185,36,0.0,0.0,1.0,10.388294219970703,1.0
weak_chaos,14,566,598,32,0.002276536077260971,32,0.0,0.0,1.0,9.233092308044434,1.0
weak_chaos,14,1477,1508,31,0.0018308833241462708,31,0.0,0.0,1.0,8.9442720413208,1.0
weak_chaos,15,80,105,25,0.0010535120964050293,25,0.0,0.0,1.0,7.211102485656738,1.0
weak_chaos,15,235,270,35,0.003066450357437134,35,0.0,0.0,1.0,10.099504470825195,1.0
weak_chaos,15,379,433,54,0.016797352582216263,54,0.0,0.0,1.0,15.585783958435059,1.0
weak_chaos,15,540,593,53,0.01521400734782219,53,0.0,0.0,1.0,15.29705810546875,1.0
weak_chaos,15,700,749,49,0.011336516588926315,49,0.0,0.0,1.0,14.142135620117188,1.0
weak_chaos,15,857,904,47,0.012838710099458694,47,0.0,0.0,1.0,13.56466007232666,1.0
weak_chaos,15,1003,1063,60,0.02839486673474312,60,0.0,0.0,1.0,17.318103790283203,1.0
weak_chaos,15,1164,1222,58,0.026349127292633057,58,0.0,0.0,1.0,16.74066925048828,1.0
weak_chaos,15,1322,1379,57,0.022521313279867172,57,0.0,0.0,1.0,16.451950073242188,1.0
weak_chaos,15,1480,1533,53,0.022238142788410187,53,0.0,0.0,1.0,15.29705810546875,1.0
weak_chaos,15,1628,1690,62,0.0350726954638958,62,0.0,0.0,1.0,17.895530700683594,1.0
weak_chaos,15,1788,1849,61,0.03236311674118042,61,0.0,0.0,1.0,17.606815338134766,1.0
weak_chaos,15,1946,2006,60,0.028710104525089264,60,0.0,0.0,1.0,17.318103790283203,1.0
weak_chaos,16,79,104,25,0.0009659752249717712,25,0.0,0.0,1.0,7.211102485656738,1.0
weak_chaos,16,234,255,21,0.0007099583745002747,21,0.0,0.0,1.0,6.055300712585449,1.0
weak_chaos,16,374,411,37,0.0036704540252685547,37,0.0,0.0,1.0,10.677078247070312,1.0
weak_chaos,16,539,573,34,0.0025819651782512665,34,0.0,0.0,1.0,9.810708045959473,1.0
weak_chaos,16,702,726,24,0.000850532203912735,24,0.0,0.0,1.0,6.922186851501465,1.0
weak_chaos,16,1172,1212,40,0.0046082474291324615,40,0.0,0.0,1.0,11.54339599609375,1.0
weak_chaos,16,1334,1371,37,0.0032662004232406616,37,0.0,0.0,1.0,10.677078247070312,1.0
weak_chaos,16,1497,1523,26,0.001090358942747116,26,0.0,0.0,1.0,7.500000476837158,1.0
weak_chaos,16,1652,1676,24,0.001180902123451233,24,0.0,0.0,1.0,6.922186851501465,1.0
weak_chaos,16,1790,1834,44,0.006348215043544769,44,0.0,0.0,1.0,12.69842529296875,1.0
weak_chaos,16,1954,1995,41,0.004818733781576157,41,0.0,0.0,1.0,11.832159996032715,1.0
intermediate,0,61,109,48,0.021256133913993835,48,0.0,0.0,1.0,13.853399276733398,1.0
intermediate,0,225,272,47,0.023015189915895462,47,0.0,0.0,1.0,13.56466007232666,1.0
intermediate,0,380,430,50,0.03441905230283737,50,0.0,0.0,1.0,14.430870056152344,1.0
intermediate,0,543,594,51,0.0410766638815403,51,0.0,0.0,1.0,14.71960163116455,1.0
intermediate,0,700,753,53,0.05395403131842613,53,0.0,0.0,1.0,15.29705810546875,1.0
intermediate,0,863,917,54,0.062053658068180084,54,0.0,0.0,1.0,15.585783958435059,1.0
intermediate,0,1022,1077,55,0.0774928629398346,55,0.0,0.0,1.0,15.874506950378418,1.0
intermediate,0,1186,1241,55,0.08288950473070145,55,0.0,0.0,1.0,15.874506950378418,1.0
intermediate,0,1346,1403,57,0.10360175371170044,57,0.0,0.0,1.0,16.451950073242188,1.0
