time,weak_chaos_entropy,strong_chaos_entropy,weak_chaos_normalized_entropy,strong_chaos_normalized_entropy,weak_chaos_occupied_cells,strong_chaos_occupied_cells
17.8,-0.0,0.06375800106523846,-0.0,0.008896004480543833,1,2
18.0,-0.0,0.08927132370267576,-0.0,0.012455818601189895,1,3
18.2,-0.0,0.05066115601378686,-0.0,0.007068632381166268,1,3
18.400000000000002,-0.0,0.04252273404022387,-0.0,0.005933097434465349,1,3
18.6,0.009952003136362964,0.24535331930634363,0.001388579676468878,0.03423357369112292,2,3
18.8,0.09106493094374961,1.0725261941848419,0.01270607641646554,0.1496470665572817,2,5
19.0,0.7173548769878055,0.7328852280995712,0.10009084496381426,0.10225775846120137,4,5
19.2,1.2846434488166014,0.6036809153897953,0.17924329002849715,0.08423018348130729,4,3
19.400000000000002,0.2342322546329201,0.6259823730310351,0.032681877597922585,0.0873418536055969,4,3
19.6,0.009952003136362964,0.8650615282021507,0.001388579676468878,0.12070000787757044,2,5
19.8,-0.0,1.2204007842491869,-0.0,0.1702796615852368,1,7
20.0,-0.0,1.1077512793281108,-0.0,0.1545619401421894,1,8
20.2,-0.0,0.9399213547497711,-0.0,0.13114502405207298,1,9
20.400000000000002,-0.0,1.39850298697485,-0.0,0.19512984457358107,1,12
20.6,-0.0,1.3090947513420952,-0.0,0.1826549229716215,1,11
20.8,-0.0,1.0172414799492964,-0.0,0.14193331993210495,1,14
21.0,-0.0,1.0445496155238962,-0.0,0.14574356009597655,1,15
21.2,-0.0,1.0680494450128928,-0.0,0.14902243623596437,1,11
21.400000000000002,-0.0,1.1546195170858682,-0.0,0.16110135552727312,1,10
21.6,-0.0,1.152020195906499,-0.0,0.1607386783342667,1,9
21.8,-0.0,1.1409094754626086,-0.0,0.15918842554717283,1,9
22.0,-0.0,1.0677035032809161,-0.0,0.14897416779676845,1,9
