time,weak_chaos_entropy,strong_chaos_entropy,weak_chaos_normalized_entropy,strong_chaos_normalized_entropy,weak_chaos_occupied_cells,strong_chaos_occupied_cells
20.400000000000002,1.171152395272947,4.384015286304887,0.14080131273212598,0.5270664260611225,5,160
20.6,0.8791631294592183,4.353665856238148,0.10569702391693633,0.5234176783735316,7,154
20.8,1.0773102858941939,4.430894120571117,0.12951918391318543,0.532702414537668,5,169
21.0,0.8872919571094329,4.434046500751688,0.10667430886187014,0.5330814081421268,5,165
21.2,1.5371973676546902,4.426854772668445,0.1848089182652492,0.5322167856053671,7,159
21.400000000000002,1.3061306284356728,4.484071395809821,0.1570290150331109,0.5390956304772401,7,175
21.6,1.2647332628384431,4.5214126958188245,0.15205203386202834,0.5435849728391848,5,179
21.8,1.107379118010711,4.4584343546232,0.1331341968281706,0.536013427795323,6,163
22.0,1.2794555030772765,4.475872654638992,0.15382200911064006,0.5381099402081828,6,176
22.2,1.1566848896857171,4.519080047149094,0.13906196285173184,0.5433045311168552,4,176
22.400000000000002,0.748649680121312,4.487015078284617,0.09000609840617714,0.5394495334862685,4,172
22.6,0.9684316450706587,4.497629072723097,0.11642929431528168,0.5407255965813033,6,175
22.8,1.4780341806538966,4.521007626975102,0.17769604855781326,0.5435362736048467,6,174
23.0,1.2739843616908504,4.548604167333632,0.1531642433984568,0.5468540562649253,8,188
23.2,1.0699315853336204,4.488887940975598,0.12863208268760676,0.5396746976293137,5,176
23.400000000000002,1.1600452900726441,4.577647186375483,0.13946596559953356,0.5503457412269355,5,186
23.6,1.3137836837078252,4.55843852599319,0.1579491004405095,0.548036387970631,7,180
23.8,1.152798751709681,4.546782238399388,0.13859475351954537,0.5466350156117348,6,188
24.0,1.0248512020289735,4.549398111684491,0.12321231223469112,0.5469495078964025,5,186
24.2,1.1784947584344876,4.568853354688656,0.1416840453089227,0.549288506446519,6,189
24.400000000000002,1.4617504935484908,4.600467945887686,0.17573834900495022,0.5530893576084001,6,188
24.6,1.4454080353180065,4.604918204958085,0.17377358371786233,0.5536243881660281,6,190
24.8,1.154034857401553,4.621938883313429,0.13874336381551858,0.5556706921873464,5,194
25.0,1.1692374551034472,4.641230244906325,0.14057108984161462,0.5579899881625187,5,192
25.2,1.1992606778240698,4.617683763061244,0.14418061938582688,0.5551591221134954,6,193
25.400000000000002,1.279686608088296,4.599642379588804,0.1538497936150836,0.5529901042412899,5,194
25.6,0.8444044806166457,4.613409743590183,0.1015181797241713,0.5546452798888651,5,190
25.8,1.0926210294964576,4.624674701230357,0.1313599117354611,0.5559996047658071,6,196
26.0,1.4322135569617156,4.6580723557489305,0.17218728301021752,0.5600148239784128,7,205
26.2,1.2258846247585993,4.685549641369267,0.14738147240343827,0.5633182692868752,8,199
26.400000000000002,1.0954061908062163,4.687296729323032,0.13169475660293317,0.5635283122141164,6,206
26.6,1.060601575534638,4.692737806822157,0.127510386115237,0.564182463507873,5,197
26.8,1.2915529675292747,4.717363451490208,0.15527642177499243,0.5671430714613139,7,210
27.0,1.2023088674270768,4.656338893362939,0.14454708672115582,0.5598064191794264,7,206
27.2,1.0208642720805527,4.666638592463605,0.12273298522927792,0.561044696247358,5,208
27.400000000000002,1.3206513419468324,4.740588974423941,0.15877476181417083,0.5699353503578598,6,224
27.6,1.449931323868124,4.7100805505855,0.17431739421450934,0.5662674877097716,7,212
27.8,1.3633676469168974,4.7589215996455145,0.1639103119262886,0.5721393826489964,6,219
28.0,1.1695433306092573,4.757338846009724,0.14060786359789476,0.5719490967472212,5,215
28.2,1.1829342989471088,4.744635314018339,0.14221778723237138,0.570421819863409,7,221
28.400000000000002,1.2692841027499682,4.756401982629102,0.15259915670971472,0.5718364627344533,7,222
28.6,1.2062936757171172,4.79324384966416,0.14502615865106705,0.5762657609735007,5,226
